weatherid,weatherdate,weatherprovinceid,temperature
5010547,2021-03-01,46,-0.6
5010641,2021-03-01,46,-0.3
6010400,2021-03-01,35,-11.7
6010735,2021-03-01,35,-10.9
6010740,2021-03-01,35,-9.9
6012199,2021-03-01,35,-2.0
6012501,2021-03-01,35,-13.3
7010565,2021-03-01,24,-1.8
7011983,2021-03-01,24,-2.9
7014160,2021-03-01,24,-1.1
7015791,2021-03-01,24,-7.5
7016293,2021-03-01,24,-3.2
8100300,2021-03-01,13,-3.2
8100467,2021-03-01,13,-2.9
8100506,2021-03-01,13,-3.0
8100885,2021-03-01,13,-3.6
8100989,2021-03-01,13,-2.2
8200255,2021-03-01,12,1.8
8200558,2021-03-01,12,0.0
8200574,2021-03-01,12,0.4
8200604,2021-03-01,12,1.7
8200774,2021-03-01,12,0.3
8300301,2021-03-01,11,-1.3
8300497,2021-03-01,11,-0.8
8300562,2021-03-01,11,-0.8
8300590,2021-03-01,11,-0.6
8300596,2021-03-01,11,-1.7
8400601,2021-03-01,10,-0.8
8400812,2021-03-01,10,-4.8
8401295,2021-03-01,10,-3.4
8401298,2021-03-01,10,-1.5
8401300,2021-03-01,10,-1.7
1011500,2021-04-01,59,10.9
1012475,2021-04-01,59,9.9
1012710,2021-04-01,59,9.8
1014820,2021-04-01,59,9.7
1015630,2021-04-01,59,9.8
2100155,2021-04-01,60,-4.2
2100181,2021-04-01,60,-2.2
2100184,2021-04-01,60,-3.3
2100301,2021-04-01,60,-1.9
2100407,2021-04-01,60,-2.8
2200105,2021-04-01,61,-10.5
2200675,2021-04-01,61,-20.1
2200827,2021-04-01,61,-12.0
2201022,2021-04-01,61,-10.7
2201023,2021-04-01,61,-10.7
2300501,2021-04-01,62,-17.1
2300503,2021-04-01,62,-16.5
2300504,2021-04-01,62,-16.8
2300551,2021-04-01,62,-16.9
2300710,2021-04-01,62,-14.2
3010010,2021-04-01,48,3.5
3010060,2021-04-01,48,3.0
3010162,2021-04-01,48,3.4
3010237,2021-04-01,48,3.4
3010650,2021-04-01,48,3.2
4010811,2021-04-01,47,3.3
4010879,2021-04-01,47,3.1
4012403,2021-04-01,47,4.3
4012410,2021-04-01,47,3.0
4013480,2021-04-01,47,3.3
5010140,2021-04-01,46,4.1
5010481,2021-04-01,46,3.0
5010490,2021-04-01,46,3.4
5010547,2021-04-01,46,2.9
5010641,2021-04-01,46,3.0
6010400,2021-04-01,35,-0.7
6010735,2021-04-01,35,-1.3
6010740,2021-04-01,35,-1.6
6012199,2021-04-01,35,2.7
6012501,2021-04-01,35,-4.1
7010565,2021-04-01,24,6.2
7011983,2021-04-01,24,6.3
7014160,2021-04-01,24,8.2
7015791,2021-04-01,24,1.3
7016293,2021-04-01,24,6.0
8100300,2021-04-01,13,5.9
8100467,2021-04-01,13,3.6
8100506,2021-04-01,13,4.4
8100885,2021-04-01,13,4.3
8100989,2021-04-01,13,4.7
8200255,2021-04-01,12,6.1
8200558,2021-04-01,12,4.9
8200574,2021-04-01,12,6.9
8200604,2021-04-01,12,6.0
8200774,2021-04-01,12,5.0
8300301,2021-04-01,11,4.5
8300497,2021-04-01,11,4.3
8300562,2021-04-01,11,4.1
8300590,2021-04-01,11,3.9
8300596,2021-04-01,11,4.3
8400601,2021-04-01,10,3.2
8400812,2021-04-01,10,3.9
8401295,2021-04-01,10,4.2
8401298,2021-04-01,10,5.5
8401300,2021-04-01,10,5.9
1011500,2021-05-01,59,13.4
1012475,2021-05-01,59,11.3
1012710,2021-05-01,59,12.1
1014820,2021-05-01,59,11.9
1015630,2021-05-01,59,12.9
2100155,2021-05-01,60,6.6
2100181,2021-05-01,60,5.5
2100184,2021-05-01,60,5.5
2100301,2021-05-01,60,7.9
2100407,2021-05-01,60,8.2
2200105,2021-05-01,61,1.2
2200675,2021-05-01,61,-5.9
2200827,2021-05-01,61,1.2
2201022,2021-05-01,61,3.7
2201023,2021-05-01,61,3.7
2300501,2021-05-01,62,-6.2
2300503,2021-05-01,62,-5.9
2300504,2021-05-01,62,-5.9
2300551,2021-05-01,62,-4.3
2300710,2021-05-01,62,-4.9
3010010,2021-05-01,48,9.4
3010060,2021-05-01,48,9.3
3010162,2021-05-01,48,9.6
3010237,2021-05-01,48,9.6
3010650,2021-05-01,48,10.4
4010811,2021-05-01,47,9.4
4010879,2021-05-01,47,8.9
4012403,2021-05-01,47,9.9
4012410,2021-05-01,47,11.1
4013480,2021-05-01,47,9.0
5010140,2021-05-01,46,10.6
5010481,2021-05-01,46,9.7
5010490,2021-05-01,46,9.9
5010547,2021-05-01,46,9.6
5010641,2021-05-01,46,10.0
6010400,2021-05-01,35,5.8
6010735,2021-05-01,35,5.1
6010740,2021-05-01,35,5.2
6012199,2021-05-01,35,10.2
6012501,2021-05-01,35,1.5
7010565,2021-05-01,24,12.9
7011983,2021-05-01,24,10.9
7014160,2021-05-01,24,13.7
7015791,2021-05-01,24,6.0
7016293,2021-05-01,24,11.6
8100300,2021-05-01,13,10.9
8100467,2021-05-01,13,9.3
8100506,2021-05-01,13,9.7
8100885,2021-05-01,13,9.5
8100989,2021-05-01,13,10.0
8200255,2021-05-01,12,8.7
8200558,2021-05-01,12,7.2
8200574,2021-05-01,12,9.5
8200604,2021-05-01,12,9.6
8200774,2021-05-01,12,9.6
8300301,2021-05-01,11,8.5
8300497,2021-05-01,11,9.2
8300562,2021-05-01,11,8.1
8300590,2021-05-01,11,8.4
8300596,2021-05-01,11,8.8
8400601,2021-05-01,10,6.6
8400812,2021-05-01,10,7.1
8401295,2021-05-01,10,6.3
8401298,2021-05-01,10,6.8
8401300,2021-05-01,10,7.8
1011500,2021-06-01,59,19.3
1012475,2021-06-01,59,15.1
1012710,2021-06-01,59,15.9
1014820,2021-06-01,59,18.4
1015630,2021-06-01,59,18.4
2100155,2021-06-01,60,12.7
2100181,2021-06-01,60,11.8
2100184,2021-06-01,60,11.9
2100301,2021-06-01,60,14.7
2100407,2021-06-01,60,15.5
2200105,2021-06-01,61,12.7
2200675,2021-06-01,61,2.8
2200827,2021-06-01,61,11.7
2201022,2021-06-01,61,10.7
2201023,2021-06-01,61,10.6
2300501,2021-06-01,62,5.2
2300503,2021-06-01,62,5.6
2300504,2021-06-01,62,5.0
2300551,2021-06-01,62,6.7
2300710,2021-06-01,62,5.2
