vaccinationdate,vaccinationprovinceid,fullyvaccinated,partiallyvaccinated
2021-07-17,47,595898,140537
2021-07-17,48,2239847,540094
2021-07-17,59,2441919,1247164
2021-07-17,60,28761,2663
2021-07-17,61,25136,2568
2021-07-17,62,18796,3710
2021-07-24,1,21175428,5349832
2021-07-24,10,234600,25000
2021-07-24,11,69662,53572
2021-07-24,12,556502,172169
2021-07-24,13,444677,115011
2021-07-24,24,4595584,1603528
2021-07-24,35,8572101,1811180
2021-07-24,46,785865,157256
2021-07-24,47,625736,117815
2021-07-24,48,2381204,422693
2021-07-24,59,2835304,888507
2021-07-24,60,29264,2378
2021-07-24,61,25587,2323
2021-07-24,62,19342,3400
2021-07-31,1,22623991,25000
2021-07-31,10,268363,249612
2021-07-31,11,80249,44281
2021-07-31,12,617379,119095
2021-07-31,13,469604,95562
2021-07-31,24,5016232,1223578
2021-07-31,35,9037576,1447489
2021-07-31,46,849694,109205
2021-07-31,47,648058,101366
2021-07-31,48,2465550,359966
2021-07-31,59,3095931,661552
2021-07-31,60,29571,2299
2021-07-31,61,25970,2117
2021-07-31,62,19814,3118
2021-08-07,1,23513135,3604460
2021-08-07,10,298445,108925
2021-08-07,11,90802,34858
2021-08-07,12,649491,94606
2021-08-07,13,482932,86395
2021-08-07,24,5304516,980308
2021-08-07,35,9320603,1232979
2021-08-07,46,868593,97210
2021-08-07,47,660311,93187
2021-08-07,48,2511811,330323
2021-08-07,59,3249353,538479
2021-08-07,60,29929,2136
2021-08-07,61,26251,2020
2021-08-07,62,20098,3034
2021-08-14,1,24265045,3049220
2021-08-14,10,324030,87230
2021-08-14,11,100680,25863
2021-08-14,12,661688,85963
2021-08-14,13,494650,78412
2021-08-14,24,5553171,790260
2021-08-14,35,9565127,1059550
2021-08-14,46,886001,85604
2021-08-14,47,670079,87474
2021-08-14,48,2548887,309715
2021-08-14,59,3383552,432363
2021-08-14,60,30162,2007
2021-08-14,61,26651,1841
2021-08-14,62,20367,2938
2021-08-21,1,24885248,2639269
2021-08-21,10,348969,64949
2021-08-21,11,109001,18417
2021-08-21,12,673955,76149
2021-08-21,13,503923,73236
2021-08-21,24,5790113,610800
2021-08-21,35,9756368,956187
2021-08-21,46,899858,77028
2021-08-21,47,679103,83556
2021-08-21,48,2582605,293995
2021-08-21,59,3463367,378245
2021-08-21,60,30398,1886
2021-08-21,61,26945,1937
2021-08-21,62,20643,2884
2021-08-28,1,25386766,2377631
2021-08-28,10,362859,53711
2021-08-28,11,113257,14966
2021-08-28,12,687598,67797
2021-08-28,13,519806,62084
2021-08-28,24,5961152,498109
2021-08-28,35,9913501,883832
2021-08-28,46,914349,69586
2021-08-28,47,687348,81261
2021-08-28,48,2616799,282060
2021-08-28,59,3531323,357606
2021-08-28,60,30629,1788
2021-08-28,61,27259,2009
2021-08-28,62,20886,2822
2021-09-04,1,25779776,2235186
2021-09-04,10,371370,47553
2021-09-04,11,115824,13156
2021-09-04,12,695171,63603
2021-09-04,13,535742,55443
2021-09-04,24,6093097,429785
2021-09-04,35,10032786,854139
2021-09-04,46,929823,66072
2021-09-04,47,695336,79714
2021-09-04,48,2649799,275296
2021-09-04,59,3581541,343816
2021-09-04,60,30794,1728
2021-09-04,61,27442,2058
2021-09-04,62,21051,2823
2021-09-11,1,26120509,2144184
2021-09-11,10,375906,45316
2021-09-11,11,117751,11872
2021-09-11,12,704444,59646
2021-09-11,13,540845,53583
2021-09-11,24,6193866,381716
2021-09-11,35,10172209,825753
2021-09-11,46,940002,64842
2021-09-11,47,702094,78616
2021-09-11,48,2672005,275929
2021-09-11,59,3621544,340260
2021-09-11,60,30948,1668
2021-09-11,61,27685,2073
2021-09-11,62,21210,2910
2021-09-18,1,26487266,2086416
2021-09-18,10,382338,41162
2021-09-18,11,119607,10935
2021-09-18,12,713839,57693
2021-09-18,13,548238,54233
2021-09-18,24,6286046,341133
2021-09-18,35,10301653,787065
2021-09-18,46,950033,63066
2021-09-18,47,711503,79675
2021-09-18,48,2725104,306094
2021-09-18,59,3668426,338775
2021-09-18,60,31098,1589
2021-09-18,61,27997,1988
2021-09-18,62,21384,3008
2021-09-25,1,26846937,1998708
2021-09-25,10,387043,39527
2021-09-25,11,121132,10402
2021-09-25,12,721789,56569
2021-09-25,13,558183,55538
2021-09-25,24,6348322,307548
2021-09-25,35,10464086,726981
2021-09-25,46,959560,59370
2021-09-25,47,722757,82914
2021-09-25,48,2763880,325445
2021-09-25,59,3719131,327879
2021-09-25,60,31155,1537
2021-09-25,61,28238,1945
2021-09-25,62,21661,3053
2021-10-02,1,27181444,1884323
2021-10-02,10,393461,37114
2021-10-02,11,122697,9864
2021-10-02,12,729747,55186
2021-10-02,13,566903,55918
2021-10-02,24,6404440,277533
2021-10-02,35,10603783,669158
2021-10-02,46,970469,54233
2021-10-02,47,735097,84636
2021-10-02,48,2802512,333856
2021-10-02,59,3770596,300365
2021-10-02,60,31340,1492
2021-10-02,61,28447,1940
2021-10-02,62,21952,3028
2021-10-09,1,27494686,1779582
2021-10-09,10,399763,35404
2021-10-09,11,124496,9433
2021-10-09,12,739169,53220
2021-10-09,13,572875,57874
2021-10-09,24,6459371,249297
2021-10-09,35,10729139,617162
2021-10-09,46,981525,50279
2021-10-09,47,748663,85920
2021-10-09,48,2843586,331550
2021-10-09,59,3813739,283089
2021-10-09,60,31412,1462
2021-10-09,61,28748,1865
2021-10-09,62,22200,3027
2021-10-16,1,27779167,1655094
2021-10-16,10,405359,35205
2021-10-16,11,126022,8738
2021-10-16,12,747435,52087
2021-10-16,13,579475,56208
2021-10-16,24,6505652,228066
2021-10-16,35,10832286,568820
2021-10-16,46,990456,47630
2021-10-16,47,759608,83117
2021-10-16,48,2896714,306771
2021-10-16,59,3853187,261997
2021-10-16,60,31511,1441
2021-10-16,61,28989,1829
2021-10-16,62,22473,3185
2021-10-23,1,28079796,1507164
2021-10-23,10,413833,33904
2021-10-23,11,127182,8353
2021-10-23,12,755688,49939
2021-10-23,13,588504,51070
2021-10-23,24,6542688,213722
2021-10-23,35,10932976,521433
2021-10-23,46,997948,44874
2021-10-23,47,773953,76398
2021-10-23,48,2964370,265192
2021-10-23,59,3898974,235625
2021-10-23,60,31689,1479
2021-10-23,61,29255,1866
2021-10-23,62,22736,3309
2021-10-30,1,28324555,1373260
2021-10-30,10,419100,32376
2021-10-30,11,128404,7670
2021-10-30,12,763168,46505
2021-10-30,13,597836,44699
2021-10-30,24,6570888,200699
2021-10-30,35,11020020,477202
2021-10-30,46,1004618,42266
2021-10-30,47,788772,67650
2021-10-30,48,3005696,238555
2021-10-30,59,3941769,208984
2021-10-30,60,31793,1531
2021-10-30,61,29508,1830
2021-10-30,62,22983,3293
2021-11-06,1,28518248,1272110
2021-11-06,10,423344,30288
2021-11-06,11,129246,7161
2021-11-06,12,768438,43673
2021-11-06,13,603827,40366
2021-11-06,24,6593589,191393
2021-11-06,35,11087188,444943
2021-11-06,46,1010471,39925
2021-11-06,47,801603,60000
2021-11-06,48,3042119,216748
2021-11-06,59,3973546,191062
2021-11-06,60,31879,1567
2021-11-06,61,29791,1749
2021-11-06,62,23207,3235
2021-11-13,1,28693320,1183455
2021-11-13,10,427910,27361
2021-11-13,11,130592,6274
2021-11-13,12,773297,40776
2021-11-13,13,608816,36761
2021-11-13,24,6617999,182257
2021-11-13,35,11150000,415749
2021-11-13,46,1014943,38203
2021-11-13,47,810680,54846
2021-11-13,48,3076152,196510
2021-11-13,59,3997735,178158
2021-11-13,60,31954,1590
2021-11-13,61,29791,1749
2021-11-13,62,23451,3221
2021-11-20,1,28868710,1102010
2021-11-20,10,433648,23413
2021-11-20,11,131595,5606
2021-11-20,12,785592,35809
2021-11-20,13,614061,33224
2021-11-20,24,6640365,174951
2021-11-20,35,11207402,391242
2021-11-20,46,1020089,36227
2021-11-20,47,819033,50133
2021-11-20,48,3111718,178640
2021-11-20,59,4019104,166440
2021-11-20,60,32130,1557
2021-11-20,61,30246,1534
2021-11-20,62,23727,3234
2021-11-27,1,29018941,1203890
2021-11-27,10,438506,22737
2021-11-27,11,132382,5735
2021-11-27,12,790048,33542
2021-11-27,13,617775,32849
2021-11-27,24,6661236,218089
2021-11-27,35,11253853,424276
2021-11-27,46,1024753,42014
2021-11-27,47,825802,60379
2021-11-27,48,3149338,201792
2021-11-27,59,4038459,156093
2021-11-27,60,32302,1578
2021-11-27,61,30472,1608
2021-11-27,62,24015,3198
2021-12-04,1,29082803,1525732
2021-12-04,10,441872,26627
2021-12-04,11,132963,6695
2021-12-04,12,794254,39445
2021-12-04,13,620222,39114
2021-12-04,24,6680475,327562
2021-12-04,35,11257201,552716
2021-12-04,46,1028839,60231
2021-12-04,47,831002,76461
2021-12-04,48,3153129,212747
2021-12-04,59,4055402,176214
2021-12-04,60,32530,1541
2021-12-04,61,30700,2547
2021-12-04,62,24214,3832
2021-12-11,1,29171206,1825183
2021-12-11,10,444209,31969
2021-12-11,11,133466,7479
2021-12-11,12,799215,53415
2021-12-11,13,622230,46318
2021-12-11,24,6698806,419438
2021-12-11,35,11289006,655365
2021-12-11,46,1028187,73879
2021-12-11,47,835475,80892
2021-12-11,48,3167778,230667
2021-12-11,59,4064965,215740
2021-12-11,60,32523,2114
2021-12-11,61,30861,2941
2021-12-11,62,24485,4966
2021-12-18,1,29263364,2021816
2021-12-18,10,446224,37319
2021-12-18,11,133867,8657
2021-12-18,12,801522,62873
2021-12-18,13,624341,50895
2021-12-18,24,6716084,485269
2021-12-18,35,11319277,719357
2021-12-18,46,1030971,82750
2021-12-18,47,839877,81857
2021-12-18,48,3182120,241363
2021-12-18,59,4080226,240986
2021-12-18,60,32729,2773
2021-12-18,61,31037,3003
2021-12-18,62,25089,4714
2021-12-25,1,29336294,2137086
2021-12-25,10,447320,38134
2021-12-25,11,134053,9582
2021-12-25,12,803331,65563
2021-12-25,13,625690,52335
2021-12-25,24,6730727,506483
2021-12-25,35,11352387,761657
2021-12-25,46,1033967,85987
2021-12-25,47,844595,80826
2021-12-25,48,3192081,250552
2021-12-25,59,4083118,274971
2021-12-25,60,32810,3013
2021-12-25,61,31037,3003
2021-12-25,62,25178,4980
2022-01-01,1,29393082,2185010
2022-01-01,10,447752,38233
2022-01-01,11,134172,9670
2022-01-01,12,804519,68440
2022-01-01,13,626374,53711
2022-01-01,24,6739089,512288
2022-01-01,35,11375604,785012
2022-01-01,46,1035682,87130
2022-01-01,47,849345,78884
2022-01-01,48,3199623,256700
2022-01-01,59,4091526,283692
2022-01-01,60,32905,2979
2022-01-01,61,31159,3088
2022-01-01,62,25332,5183
2022-01-08,1,29494369,2229225
2022-01-08,10,448695,39502
2022-01-08,11,134409,10237
2022-01-08,12,804855,70937
2022-01-08,13,627822,55937
2022-01-08,24,6754038,518946
2022-01-08,35,11424776,797190
2022-01-08,46,1039309,88988
2022-01-08,47,858620,74713
2022-01-08,48,3210508,262625
2022-01-08,59,4101646,298601
2022-01-08,60,32979,3073
